Away,Away PTS,Home,Home PTS,Home_or_away,Year,Winner
Portland Trail Blazers,131,Dallas Mavericks,139,Home,1985,Dallas Mavericks
San Antonio Spurs,111,Denver Nuggets,141,Home,1985,Denver Nuggets
New Jersey Nets,105,Detroit Pistons,125,Home,1985,Detroit Pistons
Phoenix Suns,114,Los Angeles Lakers,142,Home,1985,Los Angeles Lakers
Utah Jazz,115,Houston Rockets,101,Away,1985,Utah Jazz
Chicago Bulls,100,Milwaukee Bucks,109,Home,1985,Milwaukee Bucks
Portland Trail Blazers,124,Dallas Mavericks,121,Away,1985,Portland Trail Blazers
Phoenix Suns,130,Los Angeles Lakers,147,Home,1985,Los Angeles Lakers
San Antonio Spurs,113,Denver Nuggets,111,Away,1985,San Antonio Spurs
Cleveland Cavaliers,106,Boston Celtics,108,Home,1985,Boston Celtics
New Jersey Nets,111,Detroit Pistons,121,Home,1985,Detroit Pistons
Utah Jazz,96,Houston Rockets,122,Home,1985,Houston Rockets
Chicago Bulls,115,Milwaukee Bucks,122,Home,1985,Milwaukee Bucks
Washington Bullets,94,Philadelphia 76ers,113,Home,1985,Philadelphia 76ers
Boston Celtics,98,Cleveland Cavaliers,105,Home,1985,Cleveland Cavaliers
Denver Nuggets,115,San Antonio Spurs,112,Away,1985,Denver Nuggets
Dallas Mavericks,109,Portland Trail Blazers,122,Home,1985,Portland Trail Blazers
Los Angeles Lakers,119,Phoenix Suns,103,Away,1985,Los Angeles Lakers
Milwaukee Bucks,107,Chicago Bulls,109,Home,1985,Chicago Bulls
Detroit Pistons,116,New Jersey Nets,115,Away,1985,Detroit Pistons
Houston Rockets,104,Utah Jazz,112,Home,1985,Utah Jazz
Philadelphia 76ers,100,Washington Bullets,118,Home,1985,Washington Bullets
Boston Celtics,117,Cleveland Cavaliers,115,Away,1985,Boston Celtics
Dallas Mavericks,113,Portland Trail Blazers,115,Home,1985,Portland Trail Blazers
Milwaukee Bucks,105,Chicago Bulls,97,Away,1985,Milwaukee Bucks
Denver Nuggets,111,San Antonio Spurs,116,Home,1985,San Antonio Spurs
Houston Rockets,96,Utah Jazz,94,Away,1985,Houston Rockets
Philadelphia 76ers,106,Washington Bullets,98,Away,1985,Philadelphia 76ers
Portland Trail Blazers,101,Los Angeles Lakers,125,Home,1985,Los Angeles Lakers
Philadelphia 76ers,127,Milwaukee Bucks,105,Away,1985,Philadelphia 76ers
Utah Jazz,104,Houston Rockets,97,Away,1985,Utah Jazz
Detroit Pistons,99,Boston Celtics,133,Home,1985,Boston Celtics
San Antonio Spurs,99,Denver Nuggets,126,Home,1985,Denver Nuggets
Detroit Pistons,114,Boston Celtics,121,Home,1985,Boston Celtics
Utah Jazz,113,Denver Nuggets,130,Home,1985,Denver Nuggets
Portland Trail Blazers,118,Los Angeles Lakers,134,Home,1985,Los Angeles Lakers
Philadelphia 76ers,112,Milwaukee Bucks,108,Away,1985,Philadelphia 76ers
Utah Jazz,123,Denver Nuggets,131,Home,1985,Denver Nuggets
Boston Celtics,117,Detroit Pistons,125,Home,1985,Detroit Pistons
Milwaukee Bucks,104,Philadelphia 76ers,109,Home,1985,Philadelphia 76ers
Los Angeles Lakers,130,Portland Trail Blazers,126,Away,1985,Los Angeles Lakers
Denver Nuggets,123,Utah Jazz,131,Home,1985,Utah Jazz
Boston Celtics,99,Detroit Pistons,102,Home,1985,Detroit Pistons
Milwaukee Bucks,112,Philadelphia 76ers,121,Home,1985,Philadelphia 76ers
Los Angeles Lakers,107,Portland Trail Blazers,115,Home,1985,Portland Trail Blazers
Denver Nuggets,125,Utah Jazz,118,Away,1985,Denver Nuggets
Utah Jazz,104,Denver Nuggets,116,Home,1985,Denver Nuggets
Portland Trail Blazers,120,Los Angeles Lakers,139,Home,1985,Los Angeles Lakers
Detroit Pistons,123,Boston Celtics,130,Home,1985,Boston Celtics
Boston Celtics,123,Detroit Pistons,113,Away,1985,Boston Celtics
Denver Nuggets,122,Los Angeles Lakers,139,Home,1985,Los Angeles Lakers
Philadelphia 76ers,93,Boston Celtics,108,Home,1985,Boston Celtics
Philadelphia 76ers,98,Boston Celtics,106,Home,1985,Boston Celtics
Denver Nuggets,136,Los Angeles Lakers,114,Away,1985,Denver Nuggets
Los Angeles Lakers,136,Denver Nuggets,118,Away,1985,Los Angeles Lakers
Boston Celtics,105,Philadelphia 76ers,94,Away,1985,Boston Celtics
Boston Celtics,104,Philadelphia 76ers,115,Home,1985,Philadelphia 76ers
Los Angeles Lakers,120,Denver Nuggets,116,Away,1985,Los Angeles Lakers
Philadelphia 76ers,100,Boston Celtics,102,Home,1985,Boston Celtics
Denver Nuggets,109,Los Angeles Lakers,153,Home,1985,Los Angeles Lakers
Los Angeles Lakers,114,Boston Celtics,148,Home,1985,Boston Celtics
Los Angeles Lakers,109,Boston Celtics,102,Away,1985,Los Angeles Lakers
Boston Celtics,111,Los Angeles Lakers,136,Home,1985,Los Angeles Lakers
Boston Celtics,107,Los Angeles Lakers,105,Away,1985,Boston Celtics
Boston Celtics,111,Los Angeles Lakers,120,Home,1985,Los Angeles Lakers
Los Angeles Lakers,111,Boston Celtics,100,Away,1985,Los Angeles Lakers
Chicago Bulls,104,Boston Celtics,123,Home,1986,Boston Celtics
